domain,company_name,contact_email,priority
jade-fiducial.com,Jade FIDUCIAL,,high
probono.net,Pro Bono Net,,high
stableam.com,Stable,,medium
advocatesforchildren.org,Advocates for Children of New York,,high
empiretaxusa.com,Empire Tax Professionals,,high
lumsdencpa.com,Lumsden McCormick CPA,,high
duetti.co,Duetti,,high
jcfco.com,J.C. Flowers & Co.,,medium
lafayettesquare.com,Lafayette Square,,high
milestoneseventh.com,Milestone,,medium
cmmllp.com,"Campolo, Middleton & McCormick, LLP",,high
leibowjawin.com,The Leibow Jawin Group,,low
orderly.network,Orderly,,high
hedgecommunity.com,Hedge Fund Community,,medium
truv.com,Truv,,high
koyfin.com,Koyfin,,high
creativebusinessinc.com,Creative Business Inc.,,medium
domini.com,Domini Impact Investments LLC,,high
ceriniandassociates.com,"Cerini and Associates, LLP",,high
cfosquad.com,CFO Squad LLC,,high
latinojustice.org,LatinoJustice PRLDEF,,medium
prometheum.com,Prometheum,,high
civicfs.com,CIVIC Financial Services,,high
surislaw.com,Suris & Associates,,medium
palico.com,Palico,,high
